,defence_scored_average,points_scored_average,sal_diff,in_win_diff,out_win_diff,difference,total_points,target_flag
242,206.0,222.0,7142159.0,3.0,4.0,-28,204,0.0
243,200.0,188.0,-8702819.0,-3.0,3.0,-8,192,0.0
244,193.0,197.0,-18438143.0,0.0,3.0,-11,187,0.0
245,215.0,207.0,-28808009.0,-2.0,5.0,7,221,1.0
246,208.0,203.0,-9292266.0,4.0,1.0,22,192,0.0
247,211.0,207.0,4693919.0,0.0,4.0,-8,202,0.0
248,214.0,228.0,-11237658.0,-4.0,6.0,21,193,0.0
249,207.0,195.0,-27119174.0,-4.0,1.0,-16,212,0.0
250,206.0,210.0,16257442.0,6.0,3.0,11,181,0.0
251,219.0,214.0,-1267496.0,3.0,2.0,9,197,0.0
252,210.0,196.0,-10926056.0,-2.0,2.0,-13,219,0.0
253,192.0,209.0,-17012310.0,1.0,1.0,5,253,1.0
254,222.0,220.0,1802327.0,0.0,6.0,10,228,1.0
255,221.0,220.0,17479956.0,-3.0,9.0,30,220,0.0
256,210.0,192.0,18193534.0,2.0,3.0,-1,189,0.0
257,210.0,204.0,33072660.0,-4.0,4.0,6,202,0.0
258,201.0,199.0,15708489.0,1.0,5.0,6,242,1.0
259,207.0,202.0,-8160360.0,-4.0,5.0,17,197,0.0
260,202.0,225.0,-35851130.0,2.0,1.0,8,208,0.0
261,197.0,217.0,-3099343.0,-1.0,2.0,17,199,0.0
262,193.0,207.0,-27212837.0,-4.0,6.0,20,182,0.0
263,219.0,200.0,-16953253.0,-1.0,3.0,-6,220,0.0
264,200.0,192.0,-11843649.0,-3.0,1.0,11,215,0.0
265,208.0,194.0,12143126.0,4.0,1.0,30,190,0.0
266,215.0,195.0,-1633790.0,-8.0,2.0,12,220,0.0
267,203.0,202.0,15467179.0,3.0,9.0,15,221,1.0
268,209.0,199.0,-16297706.0,-3.0,2.0,-2,252,1.0
269,222.0,224.0,-2535714.0,-2.0,6.0,1,199,0.0
270,215.0,230.0,-5407457.0,3.0,3.0,12,196,0.0
271,210.0,204.0,42908860.0,4.0,7.0,49,237,1.0
272,214.0,212.0,-38101824.0,-2.0,6.0,3,211,0.0
273,201.0,206.0,-32831350.0,2.0,5.0,-12,206,0.0
274,189.0,203.0,19044432.0,-1.0,2.0,-1,197,0.0
275,242.0,221.0,-13221954.0,-1.0,3.0,-24,206,0.0
276,213.0,216.0,-37484920.0,-4.0,2.0,-34,190,0.0
277,213.0,210.0,-3003228.0,-1.0,1.0,-20,192,0.0
278,207.0,202.0,-38587565.0,-4.0,2.0,16,178,0.0
279,207.0,242.0,31907352.0,2.0,7.0,15,205,0.0
280,215.0,215.0,26949769.0,-4.0,9.0,15,219,0.0
